year,period,Andhra Pradesh,Assam,Bihar,Chhattisgarh,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Odisha,Tamil Nadu,Telangana,Uttar Pradesh,West Bengal,total
2004,Full year,276,0,23,3,39,0,0,7,16,4,0,0,0,0,368
2005,Full year,809,0,73,1173,32,0,0,0,43,0,0,0,1,0,2131
2006,Full year,282,0,15,901,10,0,0,1,67,0,0,0,2,0,1278
2007,Full year,162,0,21,167,2,0,0,0,35,3,0,0,0,0,390
2008,Full year,197,0,28,8,6,0,0,1,150,6,0,0,4,0,400
2009,Full year,89,0,16,16,8,1,0,1,8,10,0,0,1,0,150
2010,Full year,141,0,13,6,23,4,0,2,22,48,0,0,1,6,266
2011,Full year,242,1,26,20,17,0,0,0,15,49,0,0,9,15,394
2012,Full year,301,0,42,26,6,0,0,0,10,34,0,0,0,26,445
2013,Full year,82,1,3,28,15,0,0,0,53,101,0,0,0,0,283
2014,Full year,78,0,4,413,19,0,0,0,43,100,0,16,0,3,676
2015,Full year,100,0,22,323,14,0,0,0,29,73,0,9,0,0,570
2016,Full year,46,0,22,1198,40,2,0,0,54,63,0,16,0,1,1442
2017,Full year,156,0,13,370,47,3,1,0,21,31,0,30,0,13,685
2018,Full year,162,0,21,390,16,0,0,0,14,29,1,10,0,1,644
2019,Full year,64,0,13,294,13,0,0,0,37,11,0,8,0,0,440
2020,Full year,51,0,14,323,17,0,0,0,3,14,0,53,0,0,475
2021,Full year,24,1,3,520,19,0,1,0,8,20,1,139,0,0,736
2022,Full year,65,0,5,373,12,0,0,0,8,3,0,29,0,1,496
2023,Full year,10,0,5,307,28,0,0,0,7,5,0,14,0,0,376
2024,Full year,30,0,4,736,24,0,0,0,22,24,0,41,0,0,881
2025,Full year,49,0,8,1573,28,8,0,11,128,29,0,503,0,0,2337
2026,Till 24 Mar 2026,7,0,1,405,0,0,0,0,11,44,0,165,0,0,633
