record_id,name,rank,date,outcome,state,photo
LE-001,"Ramchandra Reddy @ Chalapati","CCM",2025-01-20,"Died in EoF",Chhattisgarh,"01.jpg"
LE-002,"Vivek @ Prayag Manjhi","CCM",2025-04-21,"Died in EoF",Jharkhand,"02.jpg"
LE-003,"Namballa Keshva Rao @ Basavaraju","PBM, General Secretary",2025-05-21,"Died in EoF",Chhattisgarh,"03.jpg"
LE-004,"Tentu Laxmi Narsimha Chalam @ Goutham","CCM",2025-06-05,"Died in EoF",Chhattisgarh,"04.jpg"
LE-005,"Gajrala Ravi @ Uday","CCM & Secy, AOB SZC",2025-06-18,"Died in EoF","Andhra Pradesh","05.jpg"
LE-006,"Modem Balakrishna @ Bhaskar @ Manoj","CCM",2025-09-11,"Died in EoF",Chhattisgarh,"06.jpg"
LE-007,"Pothula Kalpana @ Sujathakka W/o Late Kishanji (Ex PBM)","CCM",2025-09-13,Surrendered,Telangana,"07.jpg"
LE-008,"Sahadev Soren @ Anuj","CCM",2025-09-15,"Died in EoF",Jharkhand,"08.jpg"
LE-009,"Katta Ramchandra Reddy @ KRC Reddy","CCM & Secy, DKSZC",2025-09-22,"Died in EoF",Chhattisgarh,"09.jpg"
LE-010,"Kadari Satyanarayan Reddy @ Kosa","CCM & In-charge, DKSZC",2025-09-22,"Died in EoF",Chhattisgarh,"10.jpg"
LE-011,"M. Venugopal Rao @ Sonu","PBM & Secy, CRB",2025-10-14,Surrendered,Maharashtra,"11.jpg"
LE-012,"Satish @ Naresh","CCM",2025-10-17,Surrendered,Chhattisgarh,"12.jpg"
LE-013,"Chandanna","CCM & In-charge, TSC",2025-10-28,Surrendered,Telangana,"13.jpg"
LE-014,"Madvi Hidma @ Santosh","CCM & In-charge, DKSZC",2025-11-18,"Died in EoF","Andhra Pradesh","14.jpg"
LE-015,"Ramder @ Majji Debu","CCM & In-charge, MMC SZC",2025-12-08,Surrendered,Chhattisgarh,"15.jpg"
LE-016,"Ganesh Uike @ Pakka Hanamanthu","CCM & In-charge, OSC",2025-12-25,"Died in EoF",Odisha,"16.jpg"
LE-017,"Patiram Manjhi @ Anal Da","CCM",2026-01-22,"Died in EoF",Jharkhand,"17.jpg"
LE-018,"Tipiri Thirupati @ Deoji","PBM",2026-02-24,Surrendered,Telangana,"18.jpg"
LE-019,"Malla Raji Reddy @ Sangram","CCM",2026-02-24,Surrendered,Telangana,"19.jpg"
