year,period,Andhra Pradesh,Bihar,Chhattisgarh,Jharkhand,Madhya Pradesh,Maharashtra,Odisha,Telangana,total
2013,Full year,1,2,13,1,0,0,7,0,24
2014,Full year,2,0,26,2,1,3,3,0,37
2015,Full year,4,1,42,6,2,0,14,0,69
2016,Full year,4,4,23,7,0,6,3,0,47
2017,Full year,0,10,19,1,0,0,5,5,40
2018,Full year,5,0,23,5,2,0,12,20,67
2019,Full year,1,0,11,1,2,1,4,0,20
2020,Full year,0,1,15,10,1,0,8,0,35
2021,Full year,0,0,15,6,10,3,10,3,47
2022,Full year,0,6,22,18,3,0,7,4,60
2023,Full year,1,0,17,4,3,4,7,0,36
2024,Full year,0,0,41,4,8,2,5,0,60
2025,Full year,0,0,60,8,10,4,7,1,90
2026,Till 20 Mar 2026,0,0,14,0,0,0,0,1,15
